OrderNumber,ShippingAddress,Order,AccountNumber,CartNumber
8045308,41 S. Lower River Dr.,Confirmed,10013585,82875
8045318,"Greensburg, PA 15601",Dispatched,10013588,82890
8045328,63 S. San Carlos Dr.,Confirmed,10013591,82905
8045338,"Stevens Point, WI 54481",Delivered,10013594,82920
8045348,18 Dunbar St.,Processing,10013597,82935
8045358,"Bayside, NY 11361",Confirmed,10013600,82950
8045368,7727 Poplar Street,Dispatched,10013603,82965
8045378,"Mc Lean, VA 22101",Dispatched,10013606,82980
8045388,713 Somerset Ave.,Confirmed,10013609,82995
8045398,"Cranberry Twp, PA 16066",Delivered,10013612,83010
8045408,8555 Crescent St.,Dispatched,10013615,83025
8045418,"Middle River, MD 21220",Dispatched,10013618,83040
8045428,9937 Greystone St.,Processing,10013621,83055
8045438,"Morrisville, PA 19067",Confirmed,10013624,83070
8045448,7255 Center Ave.,Processing,10013627,83085
8045458,"Hamburg, NY 14075",Dispatched,10013630,83100
8045468,244 Williams St.,Confirmed,10013633,83115
8045478,"Wake Forest, NC 27587",Delivered,10013636,83130
8045488,279 Nut Swamp St.,Dispatched,10013639,83145
8045498,"Roselle, IL 60172",Processing,10013642,83160
8045508,411 Fairway St.,Processing,10013645,83175
8045518,"Huntersville, NC 28078",Processing,10013648,83190
8045528,8 Boston Road,Dispatched,10013651,83205
8045538,"Naples, FL 34116",Delivered,10013654,83220
8045548,21 Golf Street,Dispatched,10013657,83235
8045558,"West Roxbury, MA 02132",Confirmed,10013660,83250
8045568,7499 Pheasant Avenue,Delivered,10013663,83265
8045578,"North Fort Myers, FL 33917",Delivered,10013666,83280
8045588,408 St Paul Court,Confirmed,10013669,83295
8045598,"Norman, OK 73072",Delivered,10013672,83310
8045608,7 Brookside Ave.,Processing,10013675,83325
8045618,"Brick, NJ 08723",Dispatched,10013678,83340
8045628,8236 53rd St.,Dispatched,10013681,83355
8045638,"Shepherdsville, KY 40165",Dispatched,10013684,83370
8045648,373 W. White Ave.,Processing,10013687,83385
8045658,"Biloxi, MS 39532",Dispatched,10013690,83400
8045668,495 Pierce Avenue,Dispatched,10013693,83415
8045678,"Thomasville, NC 27360",Processing,10013696,83430
8045688,9121 Green Street,Delivered,10013699,83445
8045698,"Tewksbury, MA 01876",Dispatched,10013702,83460
8045708,147 Beech St.,Dispatched,10013705,83475
8045718,"Loveland, OH 45140",Dispatched,10013708,83490
8045728,7538 Essex Street,Processing,10013711,83505
8045738,"Sioux Falls, SD 57103",Dispatched,10013714,83520
8045748,166 Inverness Street,Processing,10013717,83535
8045758,"Bridgewater, NJ 08807",Confirmed,10013720,83550
8045768,505 Garden St.,Dispatched,10013723,83565
8045778,"Willingboro, NJ 08046",Delivered,10013726,83580
8045788,925 San Carlos Street,Processing,10013729,83595
8045798,"West Lafayette, IN 47906",Delivered,10013732,83610
8045808,750 Riverside Court,Confirmed,10013735,83625
8045818,"Cottage Grove, MN 55016",Dispatched,10013738,83640
8045828,8202 Manchester St.,Delivered,10013741,83655
8045838,"North Andover, MA 01845",Dispatched,10013744,83670
8045848,190 Gonzales Rd.,Dispatched,10013747,83685
8045858,"Kennesaw, GA 30144",Processing,10013750,83700
8045868,9109 Brandywine Dr.,Dispatched,10013753,83715
8045878,"Allison Park, PA 15101",Processing,10013756,83730
8045888,8208 Grand Drive,Confirmed,10013759,83745
8045898,"Maineville, OH 45039",Processing,10013762,83760
8045908,90 Cherry St.,Dispatched,10013765,83775
8045918,"Little Rock, AR 72209",Dispatched,10013768,83790
8045928,8846 Vernon Court,Dispatched,10013771,83805
8045938,"Buffalo Grove, IL 60089",Processing,10013774,83820
8045948,8765 Shore Lane,Confirmed,10013777,83835
8045958,"Upland, CA 91784",Delivered,10013780,83850
8045968,7907 Beacon Dr.,Processing,10013783,83865
8045978,"Macomb, MI 48042",Delivered,10013786,83880
8045988,8466 Front Street,Delivered,10013789,83895
8045998,"Lexington, NC 27292",Dispatched,10013792,83910
8046008,9581 Peachtree St.,Dispatched,10013795,83925
8046018,"Dunedin, FL 34698",Processing,10013798,83940
8046028,21 North Devonshire Street,Dispatched,10013801,83955
8046038,"Monroeville, PA 15146",Processing,10013804,83970
8046048,81 Glendale St.,Processing,10013807,83985
8046058,"Lincoln, NE 68506",Processing,10013810,84000
8046068,667 Arch St.,Processing,10013813,84015
8046078,"Woburn, MA 01801",Delivered,10013816,84030
8046088,64 N. Iroquois Street,Dispatched,10013819,84045
8046098,"Port Washington, NY 11050",Dispatched,10013822,84060
8046108,691 South Laurel St.,Dispatched,10013825,84075
8046118,"Frederick, MD 21701",Processing,10013828,84090
8046128,9314 Fairview St.,Delivered,10013831,84105
8046138,"Oak Park, MI 48237",Confirmed,10013834,84120
8046148,8556 Newport St.,Confirmed,10013837,84135
8046158,"Fargo, ND 58102",Dispatched,10013840,84150
8046168,74 Dogwood St.,Delivered,10013843,84165
8046178,"Wheaton, IL 60187",Dispatched,10013846,84180
8046188,7876 Branch Street,Confirmed,10013849,84195
8046198,"Marietta, GA 30008",Delivered,10013852,84210
8046208,43 South Bow Ridge Circle,Processing,10013855,84225
8046218,"Manchester, NH 03102",Delivered,10013858,84240
8046228,4 North Mayfair Ave.,Confirmed,10013861,84255
8046238,"Williamsburg, VA 23185",Confirmed,10013864,84270
8046248,156 San Pablo St.,Processing,10013867,84285
8046258,"Smithtown, NY 11787",Dispatched,10013870,84300
8046268,278 Mulberry Drive,Dispatched,10013873,84315
8046278,"Mcdonough, GA 30252",Processing,10013876,84330
8046288,48 Whitemarsh Drive,Processing,10013879,84345
8046298,"Romulus, MI 48174",Dispatched,10013882,84360
8046308,486 W. Orchard Drive,Dispatched,10013885,84375
8046318,"Lafayette, IN 47905",Dispatched,10013888,84390
8046328,491 Clinton Road,Delivered,10013891,84405
8046338,"Waynesboro, PA 17268",Confirmed,10013894,84420
8046348,611 San Juan St.,Delivered,10013897,84435
8046358,"Granger, IN 46530",Delivered,10013900,84450
8046368,55 Adams St.,Delivered,10013903,84465
8046378,"Danville, VA 24540",Dispatched,10013906,84480
8046388,7655 Edgewater Lane,Dispatched,10013909,84495
8046398,"Boynton Beach, FL 33435",Delivered,10013912,84510
8046408,59 Garfield Ave.,Confirmed,10013915,84525
8046418,"Oxnard, CA 93035",Dispatched,10013918,84540
8046428,16 Augusta Road,Confirmed,10013921,84555
8046438,"Langhorne, PA 19047",Dispatched,10013924,84570
8046448,29 Wilson St.,Dispatched,10013927,84585
8046458,"Oviedo, FL 32765",Confirmed,10013930,84600
8046468,912 S. Richardson Ave.,Processing,10013933,84615
8046478,"Orlando, FL 32806",Confirmed,10013936,84630
8046488,467 Nichols Avenue,Dispatched,10013939,84645
8046498,"West Islip, NY 11795",Dispatched,10013942,84660
8046508,8901 Squaw Creek Road,Processing,10013945,84675
8046518,"Buckeye, AZ 85326",Confirmed,10013948,84690
8046528,7803 Birchwood Street,Confirmed,10013951,84705
8046538,"Lake Zurich, IL 60047",Delivered,10013954,84720
8046548,16 Lancaster St.,Delivered,10013957,84735
8046558,"Rockaway, NJ 07866",Processing,10013960,84750
8046568,81 Fawn Lane,Delivered,10013963,84765
8046578,"West Orange, NJ 07052",Dispatched,10013966,84780
8046588,8176 Brandywine Street,Dispatched,10013969,84795
8046598,"North Kingstown, RI 02852",Dispatched,10013972,84810
8046608,531 Sunnyslope Ave.,Delivered,10013975,84825
8046618,"Stafford, VA 22554",Dispatched,10013978,84840
8046628,587 Vine St.,Delivered,10013981,84855
8046638,"Grayslake, IL 60030",Processing,10013984,84870
8046648,6 Tallwood St.,Delivered,10013987,84885
8046658,"Canandaigua, NY 14424",Processing,10013990,84900
8046668,331 Prairie Lane,Dispatched,10013993,84915
8046678,"Oxon Hill, MD 20745",Processing,10013996,84930
8046688,67 Corona Street,Delivered,10013999,84945
8046698,"Carpentersville, IL 60110",Confirmed,10014002,84960
8046708,382 6th Drive,Dispatched,10014005,84975
8046718,"Minneapolis, MN 55406",Confirmed,10014008,84990
8046728,7162 Howard Street,Processing,10014011,85005
8046738,"Rego Park, NY 11374",Delivered,10014014,85020
8046748,615 Cedar Swamp St.,Processing,10014017,85035
8046758,"Lititz, PA 17543",Confirmed,10014020,85050
8046768,137 Myers Rd.,Dispatched,10014023,85065
8046778,"Hamden, CT 06514",Dispatched,10014026,85080
8046788,76 Border Rd.,Dispatched,10014029,85095
8046798,"Benton Harbor, MI 49022",Dispatched,10014032,85110
8046808,9151 4th St.,Processing,10014035,85125
8046818,"Fullerton, CA 92831",Processing,10014038,85140
8046828,9717 Lake Forest Drive,Dispatched,10014041,85155
8046838,"Lumberton, NC 28358",Dispatched,10014044,85170
8046848,916 Monroe St.,Processing,10014047,85185
8046858,"Cordova, TN 38016",Confirmed,10014050,85200
8046868,609 Thomas St.,Confirmed,10014053,85215
8046878,"Hopkinsville, KY 42240",Confirmed,10014056,85230
8046888,17 Valley View Ave.,Processing,10014059,85245
8046898,"Chesterfield, VA 23832",Processing,10014062,85260
8046908,7342 Randall Mill Street,Dispatched,10014065,85275
8046918,"Reisterstown, MD 21136",Dispatched,10014068,85290
8046928,98 Ashley Dr.,Dispatched,10014071,85305
8046938,"Owatonna, MN 55060",Processing,10014074,85320
8046948,815 Pheasant St.,Delivered,10014077,85335
8046958,"Osseo, MN 55311",Confirmed,10014080,85350
8046968,8140 East Holly Street,Delivered,10014083,85365
8046978,"Port Charlotte, FL 33952",Processing,10014086,85380
8046988,7444 King Dr.,Dispatched,10014089,85395
8046998,"Janesville, WI 53546",Confirmed,10014092,85410
8047008,55 Green Hill Drive,Confirmed,10014095,85425
8047018,"Oakland, CA 94603",Confirmed,10014098,85440
8047028,7922 Galvin Lane,Dispatched,10014101,85455
8047038,"Mount Vernon, NY 10550",Processing,10014104,85470
8047048,1 W. Pulaski Dr.,Processing,10014107,85485
8047058,"Mechanicsburg, PA 17050",Dispatched,10014110,85500
8047068,8492 Warren Court,Dispatched,10014113,85515
8047078,"Fresno, CA 93706",Confirmed,10014116,85530
8047088,9739 Swanson Avenue,Confirmed,10014119,85545
8047098,"Fitchburg, MA 01420",Delivered,10014122,85560
8047108,2 York Street,Confirmed,10014125,85575
8047118,"Far Rockaway, NY 11691",Delivered,10014128,85590
8047128,8350 West Creek Drive,Delivered,10014131,85605
8047138,"Ft Mitchell, KY 41017",Processing,10014134,85620
8047148,9 N. Lyme Street,Delivered,10014137,85635
8047158,"Vienna, VA 22180",Dispatched,10014140,85650
8047168,2 Charles Road,Confirmed,10014143,85665
8047178,"Brockton, MA 02301",Dispatched,10014146,85680
8047188,79 Princeton Ave.,Confirmed,10014149,85695
8047198,"Harrisonburg, VA 22801",Confirmed,10014152,85710
8047208,1 Shirley Drive,Confirmed,10014155,85725
8047218,"Christiansburg, VA 24073",Processing,10014158,85740
8047228,69 Glenholme Rd.,Confirmed,10014161,85755
8047238,"Herndon, VA 20170",Confirmed,10014164,85770
8047248,8344 Logan Ave.,Processing,10014167,85785
8047258,"Mcminnville, TN 37110",Delivered,10014170,85800
8047268,596 Lantern Dr.,Confirmed,10014173,85815
8047278,"Baldwinsville, NY 13027",Delivered,10014176,85830
8047288,834 Williams Ave.,Confirmed,10014179,85845
8047298,"Naugatuck, CT 06770",Dispatched,10014182,85860
8047308,13 John Drive,Processing,10014185,85875
8047318,"Erie, PA 16506",Delivered,10014188,85890
8047328,745 NW. Gainsway St.,Dispatched,10014191,85905
8047338,"Bismarck, ND 58501",Delivered,10014194,85920
8047348,44 Prairie Circle,Confirmed,10014197,85935
8047358,"Abingdon, MD 21009",Delivered,10014200,85950
8047368,841 E. Fairway Street,Delivered,10014203,85965
8047378,"Franklin, MA 02038",Confirmed,10014206,85980
8047388,76 N. Rock Creek St.,Dispatched,10014209,85995
8047398,"Emporia, KS 66801",Delivered,10014212,86010
8047408,8636 Edgemont St.,Processing,10014215,86025
8047418,"Ada, OK 74820",Delivered,10014218,86040
8047428,60 Overlook Lane,Processing,10014221,86055
8047438,"Hagerstown, MD 21740",Processing,10014224,86070
8047448,9180 N. Beach Court,Dispatched,10014227,86085
8047458,"Ashtabula, OH 44004",Processing,10014230,86100
8047468,798 South Blue Spring Street,Processing,10014233,86115
8047478,"Rockford, MI 49341",Confirmed,10014236,86130
8047488,75 Sunbeam Court,Delivered,10014239,86145
8047498,"Piqua, OH 45356",Processing,10014242,86160
8047508,524 Beaver Ridge Drive,Dispatched,10014245,86175
8047518,"Farmingdale, NY 11735",Processing,10014248,86190
8047528,9037 Roberts Street,Dispatched,10014251,86205
8047538,"Zanesville, OH 43701",Delivered,10014254,86220
8047548,6 Arnold Ave.,Processing,10014257,86235
8047558,"Rahway, NJ 07065",Delivered,10014260,86250
8047568,41 Henry Lane,Confirmed,10014263,86265
8047578,"Kent, OH 44240",Confirmed,10014266,86280
8047588,52 Cleveland Street,Delivered,10014269,86295
8047598,"Dearborn, MI 48124",Processing,10014272,86310
8047608,8884 Paris Hill Ave.,Dispatched,10014275,86325
8047618,"Myrtle Beach, SC 29577",Processing,10014278,86340
8047628,531 Brown Lane,Delivered,10014281,86355
8047638,"Bartlett, IL 60103",Dispatched,10014284,86370
8047648,26 Homestead Ave.,Processing,10014287,86385
8047658,"Lakeville, MN 55044",Confirmed,10014290,86400
8047668,258 Philmont Avenue,Confirmed,10014293,86415
8047678,"Youngstown, OH 44512",Confirmed,10014296,86430
8047688,18 George Ave.,Dispatched,10014299,86445
8047698,"Santa Clara, CA 95050",Processing,10014302,86460
8047708,7027 E. Vermont Street,Processing,10014305,86475
8047718,"East Elmhurst, NY 11369",Processing,10014308,86490
8047728,33 Whitemarsh Drive,Delivered,10014311,86505
8047738,"Helena, MT 59601",Confirmed,10014314,86520
8047748,494 Manchester Ave.,Delivered,10014317,86535
8047758,"Harvey, IL 60426",Confirmed,10014320,86550
8047768,499 Jones Ave.,Confirmed,10014323,86565
8047778,"Glenview, IL 60025",Delivered,10014326,86580
8047788,651 Colonial Court,Dispatched,10014329,86595
8047798,"Mokena, IL 60448",Processing,10014332,86610
8047808,966 Harrison Dr.,Confirmed,10014335,86625
8047818,"Champlin, MN 55316",Confirmed,10014338,86640
8047828,29 School Ave.,Confirmed,10014341,86655
8047838,"Palm Harbor, FL 34683",Dispatched,10014344,86670
8047848,8169 Big Rock Cove Drive,Confirmed,10014347,86685
8047858,"Medford, MA 02155",Processing,10014350,86700
8047868,484 Jennings Street,Dispatched,10014353,86715
8047878,"Torrance, CA 90505",Confirmed,10014356,86730
8047888,7408 Stonybrook St.,Delivered,10014359,86745
8047898,"Orchard Park, NY 14127",Confirmed,10014362,86760
8047908,9616 Thomas Road,Processing,10014365,86775
8047918,"Corpus Christi, TX 78418",Dispatched,10014368,86790
8047928,575 West Manchester Ave.,Delivered,10014371,86805
8047938,"San Jose, CA 95127",Dispatched,10014374,86820
8047948,730 Lawrence Dr.,Delivered,10014377,86835
8047958,"Miamisburg, OH 45342",Delivered,10014380,86850
8047968,830 West Durham Ave.,Delivered,10014383,86865
8047978,"Haines City, FL 33844",Processing,10014386,86880
8047988,8266 Richardson Circle,Processing,10014389,86895
8047998,"Copperas Cove, TX 76522",Confirmed,10014392,86910
8048008,747 East Vermont Rd.,Delivered,10014395,86925
8048018,"Merrick, NY 11566",Confirmed,10014398,86940
8048028,8164 St Margarets St.,Delivered,10014401,86955
8048038,"Union, NJ 07083",Processing,10014404,86970
8048048,436 Goldfield St.,Delivered,10014407,86985
8048058,"Warwick, RI 02886",Processing,10014410,87000
8048068,33 Victoria St.,Dispatched,10014413,87015
8048078,"Auburn, NY 13021",Dispatched,10014416,87030
8048088,26 Delaware Ave.,Confirmed,10014419,87045
8048098,"Dothan, AL 36301",Processing,10014422,87060
8048108,793 Longbranch Drive,Processing,10014425,87075
8048118,"Pataskala, OH 43062",Processing,10014428,87090
8048128,82 Sunnyslope Court,Processing,10014431,87105
8048138,"Irwin, PA 15642",Dispatched,10014434,87120
8048148,9 East Cedar Swamp Dr.,Processing,10014437,87135
8048158,"Greer, SC 29650",Dispatched,10014440,87150
8048168,950 Ashley St.,Dispatched,10014443,87165
8048178,"Cuyahoga Falls, OH 44221",Dispatched,10014446,87180
8048188,81 Shub Farm St.,Confirmed,10014449,87195
8048198,"Stockbridge, GA 30281",Dispatched,10014452,87210
8048208,306 Ohio Court,Processing,10014455,87225
8048218,"Melbourne, FL 32904",Delivered,10014458,87240
8048228,260 Bank Road,Processing,10014461,87255
8048238,"Wasilla, AK 99654",Processing,10014464,87270
8048248,845 Summit St.,Confirmed,10014467,87285
8048258,"Panama City, FL 32404",Dispatched,10014470,87300
8048268,9613 Miles Rd.,Delivered,10014473,87315
8048278,"East Lansing, MI 48823",Confirmed,10014476,87330
8048288,8 Plumb Branch Lane,Confirmed,10014479,87345
8048298,"Butte, MT 59701",Dispatched,10014482,87360
8048308,64 Hillside Street,Delivered,10014485,87375
8048318,"Lady Lake, FL 32159",Dispatched,10014488,87390
8048328,7555 Jennings Lane,Delivered,10014491,87405
8048338,"Port Chester, NY 10573",Processing,10014494,87420
8048348,766 Swanson St.,Confirmed,10014497,87435
8048358,"Canfield, OH 44406",Processing,10014500,87450
8048368,599 South Summerhouse Street,Confirmed,10014503,87465
8048378,"Ballston Spa, NY 12020",Confirmed,10014506,87480
8048388,405 North Cypress Street,Dispatched,10014509,87495
8048398,"Los Angeles, CA 90008",Dispatched,10014512,87510
8048408,7 Acacia Ave.,Confirmed,10014515,87525
8048418,"Saginaw, MI 48601",Processing,10014518,87540
8048428,694 Valley Farms Drive,Delivered,10014521,87555
8048438,"Birmingham, AL 35209",Dispatched,10014524,87570
8048448,808 Adams St.,Delivered,10014527,87585
8048458,"Fleming Island, FL 32003",Dispatched,10014530,87600
8048468,905 Arrowhead Ave.,Confirmed,10014533,87615
8048478,"Nashville, TN 37205",Confirmed,10014536,87630
8048488,95C Somerset Lane,Confirmed,10014539,87645
8048498,"Lake Mary, FL 32746",Delivered,10014542,87660
8048508,57 Cottage Road,Confirmed,10014545,87675
8048518,"Aliquippa, PA 15001",Dispatched,10014548,87690
8048528,8959 Princess Ave.,Confirmed,10014551,87705
8048538,"Garner, NC 27529",Dispatched,10014554,87720
8048548,41 Glen Ridge Drive,Delivered,10014557,87735
8048558,"Silver Spring, MD 20901",Processing,10014560,87750
8048568,179 Squaw Creek Ave.,Delivered,10014563,87765
8048578,"Elyria, OH 44035",Dispatched,10014566,87780
8048588,113 West Drive,Delivered,10014569,87795
8048598,"Chester, PA 19013",Confirmed,10014572,87810
8048608,8690 Beech St.,Confirmed,10014575,87825
8048618,"Reidsville, NC 27320",Processing,10014578,87840
8048628,4 Lakeview St.,Delivered,10014581,87855
8048638,"Reynoldsburg, OH 43068",Confirmed,10014584,87870
8048648,409 Ann Dr.,Processing,10014587,87885
8048658,"Olive Branch, MS 38654",Confirmed,10014590,87900
8048668,7573 Garfield Street,Processing,10014593,87915
8048678,"Grandville, MI 49418",Processing,10014596,87930
8048688,921 St Paul St.,Confirmed,10014599,87945
8048698,"Goose Creek, SC 29445",Confirmed,10014602,87960
8048708,881 West Clay St.,Delivered,10014605,87975
8048718,"Racine, WI 53402",Delivered,10014608,87990
8048728,16 Queen St.,Processing,10014611,88005
8048738,"Highland, IN 46322",Delivered,10014614,88020
8048748,206 Wild Rose St.,Delivered,10014617,88035
8048758,"Mahwah, NJ 07430",Delivered,10014620,88050
8048768,8497 Bowman Ave.,Processing,10014623,88065
8048778,"Mount Pleasant, SC 29464",Confirmed,10014626,88080
8048788,208 West Applegate Ave.,Dispatched,10014629,88095
8048798,"Akron, OH 44312",Processing,10014632,88110
8048808,739 Big Rock Cove Drive,Delivered,10014635,88125
8048818,"Reno, NV 89523",Processing,10014638,88140
8048828,578 Gregory St.,Delivered,10014641,88155
8048838,"Westport, CT 06880",Delivered,10014644,88170
8048848,83 Santa Clara Ave.,Delivered,10014647,88185
8048858,"Powder Springs, GA 30127",Delivered,10014650,88200
8048868,169 Amerige St.,Confirmed,10014653,88215
8048878,"West Bloomfield, MI 48322",Confirmed,10014656,88230
8048888,98 S. Temple Dr.,Processing,10014659,88245
8048898,"Salt Lake City, UT 84119",Confirmed,10014662,88260
8048908,7 Van Dyke St.,Confirmed,10014665,88275
8048918,"Gibsonia, PA 15044",Confirmed,10014668,88290
8048928,118 Division Court,Dispatched,10014671,88305
8048938,"Lacey, WA 98503",Delivered,10014674,88320
8048948,807 Iroquois Street,Dispatched,10014677,88335
8048958,"Windsor Mill, MD 21244",Processing,10014680,88350
8048968,306 Applegate St.,Processing,10014683,88365
8048978,"Malden, MA 02148",Delivered,10014686,88380
8048988,865 Peachtree St.,Delivered,10014689,88395
8048998,"Brooklyn, NY 11201",Confirmed,10014692,88410
8049008,8894 Division Street,Confirmed,10014695,88425
8049018,"Melrose, MA 02176",Confirmed,10014698,88440
8049028,85 Wall Street,Confirmed,10014701,88455
8049038,"Alexandria, VA 22304",Confirmed,10014704,88470
8049048,3 Tanglewood Avenue,Confirmed,10014707,88485
8049058,"Encino, CA 91316",Delivered,10014710,88500
8049068,977 Prince Dr.,Processing,10014713,88515
8049078,"Antioch, TN 37013",Delivered,10014716,88530
8049088,41 Arlington St.,Processing,10014719,88545
8049098,"Ridgefield, CT 06877",Delivered,10014722,88560
8049108,443 Strawberry St.,Processing,10014725,88575
8049118,"Summerville, SC 29483",Delivered,10014728,88590
8049128,37 Shirley Rd.,Confirmed,10014731,88605
8049138,"Dacula, GA 30019",Delivered,10014734,88620
8049148,42 County Road,Delivered,10014737,88635
8049158,"Peabody, MA 01960",Delivered,10014740,88650
8049168,149 Brown Ave.,Processing,10014743,88665
8049178,"Powell, TN 37849",Processing,10014746,88680
8049188,8957 Mill Pond Dr.,Dispatched,10014749,88695
8049198,"Erlanger, KY 41018",Processing,10014752,88710
8049208,561 6th Ave.,Confirmed,10014755,88725
8049218,"Dalton, GA 30721",Confirmed,10014758,88740
8049228,700 S. Madison St.,Confirmed,10014761,88755
8049238,"Woodside, NY 11377",Delivered,10014764,88770
8049248,9133 Cobblestone St.,Delivered,10014767,88785
8049258,"Johnston, RI 02919",Dispatched,10014770,88800
8049268,42 South Argyle Court,Dispatched,10014773,88815
8049278,"Utica, NY 13501",Processing,10014776,88830
8049288,942 Branch Ave.,Processing,10014779,88845
8049298,"Wayne, NJ 07470",Processing,10014782,88860
8049308,9660 Hillcrest Lane,Dispatched,10014785,88875
8049318,"New Windsor, NY 12553",Confirmed,10014788,88890
8049328,255 Country Drive,Confirmed,10014791,88905
8049338,"Wappingers Falls, NY 12590",Dispatched,10014794,88920
8049348,103 Bridle St.,Processing,10014797,88935
8049358,"Leesburg, VA 20175",Confirmed,10014800,88950
8049368,403 Broad Lane,Processing,10014803,88965
8049378,"Bayonne, NJ 07002",Processing,10014806,88980
8049388,968 Johnson St.,Dispatched,10014809,88995
8049398,"Olney, MD 20832",Processing,10014812,89010
8049408,879 Fifth Ave.,Dispatched,10014815,89025
8049418,"Ashburn, VA 20147",Delivered,10014818,89040
8049428,94 Linden Street,Delivered,10014821,89055
8049438,"Oak Forest, IL 60452",Processing,10014824,89070
8049448,48 Pineknoll Rd.,Delivered,10014827,89085
8049458,"Loxahatchee, FL 33470",Confirmed,10014830,89100
8049468,688 Summerhouse Ave.,Dispatched,10014833,89115
8049478,"Liverpool, NY 13090",Processing,10014836,89130
8049488,9057 North Lyme Circle,Delivered,10014839,89145
8049498,"Alabaster, AL 35007",Processing,10014842,89160
8049508,871 Boston Dr.,Confirmed,10014845,89175
8049518,"Tupelo, MS 38801",Dispatched,10014848,89190
8049528,825 East Saxon St.,Dispatched,10014851,89205
8049538,"Chicopee, MA 01020",Dispatched,10014854,89220
8049548,7971 Newbridge Lane,Dispatched,10014857,89235
8049558,"Titusville, FL 32780",Processing,10014860,89250
8049568,50 Leeton Ridge St.,Processing,10014863,89265
8049578,"Dearborn Heights, MI 48127",Confirmed,10014866,89280
8049588,217 Aspen St.,Processing,10014869,89295
8049598,"Rome, NY 13440",Processing,10014872,89310
8049608,2 East Shady Street,Processing,10014875,89325
8049618,"Libertyville, IL 60048",Dispatched,10014878,89340
8049628,8370 Stonybrook St.,Confirmed,10014881,89355
8049638,"Warren, MI 48089",Delivered,10014884,89370
8049648,67 Prairie St.,Confirmed,10014887,89385
8049658,"Branford, CT 06405",Dispatched,10014890,89400
8049668,30 Kingston Street,Delivered,10014893,89415
8049678,"Villa Park, IL 60181",Processing,10014896,89430
8049688,8935 Bay Meadows St.,Confirmed,10014899,89445
8049698,"Methuen, MA 01844",Confirmed,10014902,89460
8049708,33 Sunnyslope Ave.,Confirmed,10014905,89475
8049718,"Raleigh, NC 27603",Confirmed,10014908,89490
8049728,914 Windsor Road,Processing,10014911,89505
8049738,"Deer Park, NY 11729",Delivered,10014914,89520
8049748,86 Acacia Avenue,Delivered,10014917,89535
8049758,"New Haven, CT 06511",Confirmed,10014920,89550
8049768,7127 Border Drive,Delivered,10014923,89565
8049778,"Conyers, GA 30012",Processing,10014926,89580
8049788,392 Beaver Ridge Street,Processing,10014929,89595
8049798,"Littleton, CO 80123",Confirmed,10014932,89610
8049808,7416 W. Williams St.,Processing,10014935,89625
8049818,"Rockville, MD 20850",Confirmed,10014938,89640
8049828,7617 State Drive,Dispatched,10014941,89655
8049838,"Iowa City, IA 52240",Processing,10014944,89670
8049848,7109 Catherine Avenue,Delivered,10014947,89685
8049858,"Bristol, CT 06010",Dispatched,10014950,89700
8049868,72 Trout St.,Processing,10014953,89715
8049878,"Doylestown, PA 18901",Processing,10014956,89730
8049888,692 West Church Ave.,Delivered,10014959,89745
8049898,"Nanuet, NY 10954",Dispatched,10014962,89760
8049908,823 Sunbeam Street,Confirmed,10014965,89775
8049918,"Kennewick, WA 99337",Delivered,10014968,89790
8049928,660 Foster Road,Dispatched,10014971,89805
8049938,"Enfield, CT 06082",Dispatched,10014974,89820
8049948,9728 Tanglewood Street,Delivered,10014977,89835
8049958,"New City, NY 10956",Processing,10014980,89850
8049968,31 3rd Ave.,Confirmed,10014983,89865
8049978,"Missoula, MT 59801",Delivered,10014986,89880
8049988,7400 Old Coffee St.,Delivered,10014989,89895
8049998,"Baltimore, MD 21206",Delivered,10014992,89910
8050008,23 Cardinal Street,Confirmed,10014995,89925
8050018,"Whitehall, PA 18052",Processing,10014998,89940
8050028,8045 Fairfield Lane,Confirmed,10015001,89955
8050038,"Elmhurst, NY 11373",Confirmed,10015004,89970
8050048,8060 Oak Valley Ave.,Processing,10015007,89985
8050058,"Hinesville, GA 31313",Processing,10015010,90000
8050068,13 Shub Farm Ave.,Processing,10015013,90015
8050078,"Bristow, VA 20136",Delivered,10015016,90030
8050088,56 Old Tunnel Street,Processing,10015019,90045
8050098,"Clarksburg, WV 26301",Delivered,10015022,90060
8050108,41 Lilac St.,Confirmed,10015025,90075
8050118,"Stow, OH 44224",Processing,10015028,90090
8050128,73 W. Corona Road,Confirmed,10015031,90105
8050138,"Geneva, IL 60134",Confirmed,10015034,90120
8050148,8577 Nichols Street,Processing,10015037,90135
8050158,"Cheshire, CT 06410",Processing,10015040,90150
8050168,8704 Lakewood Street,Delivered,10015043,90165
8050178,"Massapequa Park, NY 11762",Confirmed,10015046,90180
8050188,9131 North Rockville St.,Dispatched,10015049,90195
8050198,"Stoughton, MA 02072",Processing,10015052,90210
8050208,920 White Circle,Confirmed,10015055,90225
8050218,"North Ridgeville, OH 44039",Dispatched,10015058,90240
8050228,8 William Court,Processing,10015061,90255
8050238,"Clinton, MD 20735",Processing,10015064,90270
8050248,32 Henry Smith Ave.,Confirmed,10015067,90285
8050258,"Plainview, NY 11803",Delivered,10015070,90300
8050268,757 Spring St.,Processing,10015073,90315
8050278,"Orange, NJ 07050",Delivered,10015076,90330
8050288,8645 Buttonwood Ave.,Processing,10015079,90345
